127.0.0.1 - - [03/Dec/2020:15:35:51 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Dec/2020:15:35:52 +0900] "GET /Shopping/shoping.html HTTP/1.1" 200 5161
0:0:0:0:0:0:0:1 - - [03/Dec/2020:15:35:52 +0900] "GET /Shopping/js/control.js HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [03/Dec/2020:15:35:52 +0900] "GET /Shopping/images/left.JPG HTTP/1.1" 200 8294
0:0:0:0:0:0:0:1 - - [03/Dec/2020:15:35:52 +0900] "GET /Shopping/images/%EA%B7%B8%EB%A6%BC2.PNG HTTP/1.1" 200 421834
0:0:0:0:0:0:0:1 - - [03/Dec/2020:15:35:52 +0900] "GET /Shopping/images/%EA%B7%B8%EB%A6%BC1.PNG HTTP/1.1" 200 923261
0:0:0:0:0:0:0:1 - - [03/Dec/2020:15:35:52 +0900] "GET /Shopping/images/%EA%B7%B8%EB%A6%BC3.PNG HTTP/1.1" 200 427077
0:0:0:0:0:0:0:1 - - [03/Dec/2020:15:35:52 +0900] "GET /Shopping/images/%EA%B7%B8%EB%A6%BC5.PNG HTTP/1.1" 200 389707
0:0:0:0:0:0:0:1 - - [03/Dec/2020:15:35:52 +0900] "GET /Shopping/images/%EA%B7%B8%EB%A6%BC4.PNG HTTP/1.1" 200 429431
0:0:0:0:0:0:0:1 - - [03/Dec/2020:15:35:52 +0900] "GET /Shopping/images/right.JPG HTTP/1.1" 200 8311
0:0:0:0:0:0:0:1 - - [03/Dec/2020:15:35:52 +0900] "GET /Shopping/fontstyle/ENCOSCPT.TTF HTTP/1.1" 200 54824
0:0:0:0:0:0:0:1 - - [03/Dec/2020:15:35:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Dec/2020:15:36:37 +0900] "GET /Shopping/%ED%83%9C%EC%97%B0.html HTTP/1.1" 200 6067
0:0:0:0:0:0:0:1 - - [03/Dec/2020:15:36:37 +0900] "GET /Shopping/images/%ED%81%AC%EA%B8%B0%EC%A1%B0%EC%A0%95.PNG HTTP/1.1" 200 1152191
0:0:0:0:0:0:0:1 - - [03/Dec/2020:15:36:37 +0900] "GET /Shopping/images/%E3%85%87%E3%85%872.PNG HTTP/1.1" 200 661123
